LOCAL_DATE,MEAN_TEMPERATURE_CALGARY,TOTAL_PRECIPITATION_CALGARY,MEAN_TEMPERATURE_EDMONTON,TOTAL_PRECIPITATION_EDMONTON,MEAN_TEMPERATURE_HALIFAX,TOTAL_PRECIPITATION_HALIFAX,MEAN_TEMPERATURE_MONCTON,TOTAL_PRECIPITATION_MONCTON,MEAN_TEMPERATURE_MONTREAL,TOTAL_PRECIPITATION_MONTREAL,MEAN_TEMPERATURE_OTTAWA,TOTAL_PRECIPITATION_OTTAWA,MEAN_TEMPERATURE_QUEBEC,TOTAL_PRECIPITATION_QUEBEC,MEAN_TEMPERATURE_SASKATOON,TOTAL_PRECIPITATION_SASKATOON,MEAN_TEMPERATURE_STJOHNS,TOTAL_PRECIPITATION_STJOHNS,MEAN_TEMPERATURE_TORONTO,TOTAL_PRECIPITATION_TORONTO,MEAN_TEMPERATURE_VANCOUVER,TOTAL_PRECIPITATION_VANCOUVER,MEAN_TEMPERATURE_WHITEHORSE,TOTAL_PRECIPITATION_WHITEHORSE,MEAN_TEMPERATURE_WINNIPEG,TOTAL_PRECIPITATION_WINNIPEG
2/20/70 00:00,5.9,0,-1.1,0,-8.9,0,-12,0,-14.5,0,-13.1,0,-15.9,0,-2.8,0,-5.3,7.4,-9.8,0.3,4.2,0,0.8,0,-15.3,0.5
2/21/70 00:00,2.2,0,-2.5,0,-9.8,0.5,-14.5,0,-10,0,-10,0,-15,0,-3.4,0,-9.8,0.8,-7.5,0.3,5,0,-3.4,0,-2,0
2/22/70 00:00,3.3,0,-4.2,0,-7.2,0.5,-10.6,1,-3.6,1.5,-3.9,1,-7.8,7.4,-6.4,0,-9.4,0.3,0.6,0,5.6,0,2,0,-6.7,0
2/23/70 00:00,2.3,0,-5,0,-7,1.8,-10.6,0.8,-11.7,0,-13.9,0.8,-14.5,0,-5.6,0,-1.1,4.1,-6.7,0,5,0,0.6,0,-5,0
2/24/70 00:00,-1.1,0,-7.8,0,-15,0.3,-16.4,0,-14.2,2.8,-13.9,6.4,-20.6,2,-10,0,-5.3,0.8,0,0,3.9,0,2.8,0,-16.1,0
2/25/70 00:00,2.8,0,-1.7,0,-7,0,-9.2,2.8,-15.6,0.5,-18.1,0.3,-15,4.6,-4.2,0,-5.6,2.5,-8.6,0,5,0,-2.5,0,-15,0.3
2/26/70 00:00,-0.3,2.3,-0.6,0,-9.2,1.8,-14.8,0,-20.9,0,-20.9,0,-21.7,0,-3.9,0.8,3.6,38.9,-11.7,1,3.6,0,-5.6,0,-13.6,0
2/27/70 00:00,-8.1,1.8,-5.3,3.6,-11.7,0,-16.1,0,-12.8,2,-13.6,1.5,-16.4,0,-10,0.8,6.7,6.6,-4.2,1.3,5.3,0,-9.2,0,-20.3,0
2/28/70 00:00,-12.2,0.5,-11.1,0.8,-9.2,0,-13.4,0,-6.7,1.5,-6.4,3.3,-10.3,0.5,-16.4,0,5.8,47.2,-8.1,0,5,0,-8.4,0,-16.7,0
3/1/70 00:00,-15.9,4.6,-16.7,0.3,-6.4,0,-8.6,0,-4.2,0,-7.2,2.3,-10,0,-19.8,0.5,3.1,18.8,-8.1,3.3,2.5,0,-13.4,0,-17.8,0
3/2/70 00:00,-17.3,5.6,-14.5,8.6,-5.9,0,-9.8,0,-7.3,0.8,-5.6,0,-8.3,0,-13.4,6.6,4.2,2.3,-1.7,0,3.4,0,-10.9,0.3,-8.9,8.6
3/3/70 00:00,-19.8,0,-18.3,0.5,-4.8,0,-6.1,0,-7.3,0,-7.2,0,-8.6,0,-20.3,0,1.7,6.9,-2.8,0,0.9,0,-13.1,0,-8.9,15.2
3/4/70 00:00,-21.4,0,-18.1,0,-5.6,0,-6.4,0,-6.1,4.8,-6.7,5.1,-9.5,0,-18.9,0,1.4,0.5,0.3,20.1,2.5,0,-14.7,0,-14.7,0
3/5/70 00:00,-16.4,0,-17.8,0,-5.3,0,-7.5,0.8,-1.7,1.8,-1.1,1,-4.5,3.8,-20.3,0,-0.6,7.1,-0.3,0,4.2,0,-7,0,-13.6,0
3/6/70 00:00,-3.3,0,-11.1,0,-4.7,0,-5,0,-2.5,0,-1.7,0,-4.7,0,-18.9,0,-1.1,1.8,-2,0,8.4,19.8,-2.5,0,-19.5,0
3/7/70 00:00,0.3,0,-8.9,1,-2.5,0,-3.9,0,-1.4,0,-2.3,5.8,-4.7,0.3,-15,7.1,-1.7,3,-3.1,2.8,7.8,0,-2,0,-23.6,0
3/8/70 00:00,-3.3,0,-13.1,1,-0.6,1.8,-2.5,3.8,-5.8,0.5,-9.2,0,-6.4,16.3,-19.4,0,1.7,8.1,-9.7,0,4.4,0,-3.9,0,-18.6,0
3/9/70 00:00,-3.1,0,-14.7,0.3,-3.9,0.5,-3.1,4.8,-11.4,0,-11.2,0,-7.8,0.8,-17.3,1,2.5,3.8,-9.5,0,3.9,0,1.4,0,-22.2,0
3/10/70 00:00,-7,1.8,-15,0.5,-4.8,0.5,-7,0.3,-7.2,0.5,-7.3,0,-8.6,5.8,-19.7,0.3,-0.3,5.8,-8.4,0,5.6,0,0.3,0,-18.6,0
3/11/70 00:00,-12.8,1,-23.1,0,-4.2,1.5,-7,0,-5.3,1,-5.6,0,-6.4,1.3,-18.4,0.8,-2,0.5,-4.8,0,5.6,4.3,-6.1,0,-15.9,0
3/12/70 00:00,-12.3,0,-17.5,0,-1.7,0,-2.8,0,-5,0,-4.5,0,-5.3,0,-20.8,0,-0.8,0.8,-4.5,0,7.8,9.7,-5.6,0,-15.6,0
3/13/70 00:00,-0.6,0,-9.2,1.3,-0.6,13,-2.5,0.8,-4.5,0,-3.6,0,-6.7,0,-18.4,0,-1.4,0,-2.5,0,11.1,2,-1.7,0,-11.1,0
3/14/70 00:00,-1.2,0,-7.2,0,-2.2,2.5,-3.4,7.9,-2.8,2,-3.9,2.3,-3.3,0.5,-14.5,0,3.6,14.7,-4.2,0,9.7,12.2,0.3,0,-16.1,0
3/15/70 00:00,2.8,0,-5.6,0,-1.1,0.5,-2,0.3,-4.7,0.8,-6.7,0.3,-2.8,2,-7.5,0,1.7,0,-6.4,0.3,8.1,7.6,1.1,0,-13.6,0
3/16/70 00:00,2.8,1.3,-2,0,-2.8,15,-1.7,27.2,-6.1,1,-6.7,0,-3.4,0,-2.8,0,0.3,2.5,-4.4,0,6.4,0.5,-4.2,0,-13.7,0
3/17/70 00:00,0.3,0,-3.3,1.5,-2,1,-2.5,0.8,-4.2,0,-3.7,0,-2.8,0,-1.1,0,1.4,0.5,-2,0,5,0,-0.3,0,-4.8,0
3/18/70 00:00,-0.9,0,-3.6,0,-0.9,0,-1.1,0,-1.1,0,-1.7,0,-1.4,0,-4.7,0,-0.3,1,0.9,0,4.2,0,2.5,0,-6.4,0
3/19/70 00:00,3.4,0,-0.6,0,2.5,0,-0.3,0,-1.1,0,0,0,-1.1,0,-4.5,0,-0.6,0,2.3,0,6.1,0,1.1,0,-7.2,0
3/20/70 00:00,3.1,1.5,-2.5,0.3,4.2,0,0.9,0,0.9,5.6,-0.9,4.1,0.9,1.3,-3.3,0.3,-0.3,0,1.7,3.3,8.7,0,-4.2,0,-7.5,0
3/21/70 00:00,-3.1,0,-7.2,0.3,-0.3,7.1,-0.3,6.4,1.7,3,2.2,4.1,1.1,14.2,-6.7,5.8,-0.3,18.3,3.1,0.3,7,0,0.3,0,-4.2,0
3/22/70 00:00,1.9,0,-0.8,0.3,0.6,0,1.2,0,2,6.4,2.2,6.1,3.3,0,-7.2,0,1.1,5.1,2.2,1.5,5.6,0,0,0,-8.6,0.3
3/23/70 00:00,4.2,1,-0.8,2,-1.7,17.5,-3.4,23.4,-0.3,10.7,-0.6,7.6,-1.4,14.7,-1.7,0.5,-2,0.5,2,7.1,10,2.8,-0.6,0.5,-10.3,0
3/24/70 00:00,0,0,-1.7,0,1.7,0,1.7,0.5,-1.1,1,-0.3,1,-1.4,1.8,-2,4.1,0.6,4.1,2.5,0,6.7,0,-1.4,0,-4.5,0
3/25/70 00:00,0.3,1.3,-1.1,2,2,0,1.1,0,-0.3,0,0,0,-1.7,0.3,-6.2,0.5,2.2,0,2,0,5.6,0,1.7,0,-8.9,0
3/26/70 00:00,-0.9,1.3,-4.7,3,2.5,0.5,0.6,1,-0.3,10.2,-0.8,8.9,-3.9,5.6,-11.4,0.8,2,0,2,4.6,6.1,0,3.3,0,-15.6,1
3/27/70 00:00,1.4,0,-2.2,0,3.9,37.8,4.2,20.8,-0.6,1.8,-0.6,0,-2.3,5.8,-16.7,0,-0.3,0,0.6,0,5,0,4.7,0,-20.3,0
3/28/70 00:00,2,0.3,-4.2,0.5,2.5,0,2,0,-0.3,0.8,-2.5,2.8,-2.2,6.6,-13.1,1.8,-0.6,1.5,-2.5,0.5,7.5,0,3.9,0,-18.9,0
3/29/70 00:00,-1.7,1.5,-5,1.5,0.9,7.6,-0.6,1,-6.9,0,-8.6,0,-8.4,0,-13.1,0,1.4,0,-5.6,0,6.4,0,1.1,0,-11.4,2.3
3/30/70 00:00,-4.7,1.5,-8.1,0,-5,2,-4.5,0,-7,0,-8.4,0,-8.1,0,-12.5,1.3,1.7,0,-4.5,0,7.5,0,3.6,0,-11.7,0
3/31/70 00:00,-0.3,0.5,-5.6,0.8,-3.9,0,-2.5,0,-3.1,0,-5.3,0,-2,0,-14.5,0,-2.5,0,-1.4,0,7,0,1.7,0,-12.5,0
4/1/70 00:00,3.4,0,0.3,4.3,1.4,0,-0.9,0,-0.3,0,-0.9,0,-2.5,0,-4.5,0.5,-2.8,0,0.3,1.3,9.5,0,-0.6,3.3,-12.5,0
4/2/70 00:00,-1.4,2,-4.2,0,0.3,41.7,0.3,14.2,0.8,28.4,-1.1,31.2,-2.5,25.1,-4.5,0,-2.3,0.3,0.3,27.4,6.4,0,-3.1,0,-3.7,2
4/3/70 00:00,1.4,0,-2.5,0,3.4,17.8,2.8,3.3,0.3,0.8,-0.8,1,0,2.5,-5,0,-2,4.3,1.1,0,5.9,0.5,0.6,0.3,-5.6,1
4/4/70 00:00,7.3,0,2.2,0,1.1,0,0,0,-1.4,0,-2,0,-2,0,0.3,0,0.3,1.3,0.9,0.3,6.7,16,0.3,0,-5.9,0
4/5/70 00:00,5.6,0,2.2,0,-0.6,0,-1.1,0,-2.5,0,-3.6,0,-3.3,1,1.2,0,-0.8,0.5,0,0,9.8,13,-2,0.3,0.6,0
4/6/70 00:00,7.5,0,1.7,0,-0.6,0,-0.6,0,0.3,0,-1.4,0,-5.3,0,5.6,0,-1.7,0,3.3,0.5,7.2,5.8,-1.7,7.6,-2.8,0
4/7/70 00:00,0.6,4.6,1.4,0,-0.6,0,1.4,0,3.4,0,0.9,0,0.6,0.5,0,6.9,-2.5,0,5,0,4.7,0,-5.9,0,5.6,0.3
4/8/70 00:00,2,0,2.2,0,-0.6,0,-0.9,0,4.8,0.8,5.9,0,-1.1,1.5,1.1,0,-0.8,40.6,9.2,0,6.7,12.2,0,0,-0.9,1.8
4/9/70 00:00,7.5,0,4.5,0,-0.8,0,-2.2,0,7,0,5.3,0,-0.6,0.5,4.7,0,1.4,2.5,5,0,11.4,17.5,0.3,0,-6.2,0
4/10/70 00:00,4.8,0,4.7,0.3,1.1,0.5,0.6,2.8,1.7,0,-1.7,0,1.4,5.3,3.6,0,2,1.5,-2.2,0,8.4,0,1.7,2.3,-3.1,0
4/11/70 00:00,2,0,4.5,0,1.4,2,1.1,7.9,-1.2,0,-2.3,0,0.6,0,1.4,0,1.9,9.9,-0.6,0,7.5,0,-0.9,0,2.8,0
4/12/70 00:00,-1.1,4.1,2,0,1.7,1,2,3.3,4.7,0,3.4,0,4.2,0,2,0,0,7.4,1.4,0,5,0,-2.8,0,2,0
4/13/70 00:00,-1.1,2,3.6,3.6,-0.3,0,-2,0,7.2,0,6.7,0,3.1,0,2,0,0.3,10.9,2.8,0,7.2,0,2,0,2.8,0
4/14/70 00:00,-3.7,1.3,2.5,0,2.5,0,1.1,0,6.7,0,6.7,0,2.8,0,0.6,0,-0.9,1,8.1,0,8.3,0,3.6,0,3.1,0
4/15/70 00:00,-3.4,7.6,1.1,0,5,0,3.6,0,6.7,0,6.4,0,3.6,0,1.1,0,-0.9,1.8,6.4,0,8.3,0,2.5,0,3.6,11.2
4/16/70 00:00,-2,0.8,2.5,0,3.9,0,3.1,0,6.4,0,5.6,0,2.3,0,3.6,0,-1.7,0.3,4.7,0,9.2,0,4.5,0,2.5,3
4/17/70 00:00,-0.8,0,3.9,0,2,0,5.3,0,11.7,0.3,10.9,1,6.4,4.3,3.6,0,-0.6,0,10.6,3.6,8.9,0,3.6,0,3.3,0
4/18/70 00:00,1.7,0,4.5,0,3.6,0.8,2.8,3.6,5.3,0,4.7,0,4.5,0,2.5,0,0.9,26.4,4.2,0,8.1,6.9,0.8,0,3.9,0
4/19/70 00:00,2.2,0,3.9,0,1.7,5.1,2,10.7,3.9,0,3.9,0,4.7,0,3.3,0,2.5,36.1,2.3,1.8,8.4,8.1,2,0,1.7,22.4
4/20/70 00:00,1.7,0,3.9,0,1.4,1,1.7,0.5,3.9,10.9,2.3,10.2,2.5,2,1.4,3.6,2.8,0.3,8.6,24.9,8.1,11.4,2.8,0,0.6,13.5
4/21/70 00:00,1.1,1,4.2,0,2.8,0,4.5,0,5.6,4.6,5.9,1,2.8,8.9,3.6,0,-0.3,5.3,7.3,6.1,8.6,0,4.2,0,0.3,3.8
4/22/70 00:00,3.4,0,4.5,0,1.4,0.5,3.3,0,5.8,1,4.7,0.3,4.2,0.3,0.8,0,0.3,0.5,8.1,0,10,2.3,2.5,0,1.1,0
4/23/70 00:00,7,0,7.5,0,5.3,0,5.8,0,8.4,0,9.2,0.5,7.8,0,6.4,0,0.6,0,15,1,9.2,4.8,-0.6,0,1.4,0.5
4/24/70 00:00,5.6,0,5.9,0.3,2,0,5.3,0.8,6.4,16,6.1,12.4,6.4,19.1,7.3,0,0,0,8.4,11.7,7.8,4.8,1.7,0,6.7,0
4/25/70 00:00,3.1,0,4.8,0,6.7,25.1,7.8,3.8,8.9,0,9.8,0.5,5.9,1.8,6.1,2,1.4,0,12.5,0.5,6.7,1.8,1.1,0,9.4,0
4/26/70 00:00,0.3,0,2.8,0,7.8,0,7,0,10.6,0.3,12.8,0,8.6,0,6.1,0,4.2,0,16.1,0,6.2,0,0.3,0,8.1,0
4/27/70 00:00,-1.4,11.9,3.1,0,14.7,0.3,11.4,0,17,0,17.5,0,11.4,0,2.5,0,7,0,15.3,0,7.5,0,2.5,0,7.3,0.5
4/28/70 00:00,-0.9,0,3.6,0,8.3,2.5,9.2,0,13.6,0,14.7,0,11.4,1.5,2.8,0.3,7,0,15.6,0,8.6,0,3.1,0,6.7,5.1
4/29/70 00:00,2.2,0,4.7,0,7,0,4.8,0,13.9,0,14.7,0,9.2,0,1.1,2,4.4,0.5,15.3,0,8.4,7.1,5,0,8.6,0.3
4/30/70 00:00,5.6,0,7.8,0,8.1,0,6.7,0,15.9,0,18.1,0,9.7,0,4.8,0,0.8,0,14.5,2.3,10,0,3.6,0.3,1.4,0
5/1/70 00:00,10,0,10.3,0,9.8,0,13.1,0,21.4,0.5,23.9,2,18.1,2.8,7,0,3.6,0.3,20,1.8,11.2,0,3.6,0,2,0
5/2/70 00:00,11.7,0,8.3,0,14.5,0,18.1,0,15.9,2.5,13.3,1,15.3,4.8,10.6,0,10.6,0,10.6,0.3,10,0,1.7,0,8.9,0
5/3/70 00:00,11.2,0,7.5,0,14.5,3,9.2,0.8,9.7,0,9.2,0,7,0,7.8,0,13.1,3.8,10,0,12.2,0,1.1,0,8.4,0
5/4/70 00:00,8.6,0,6.1,0,7.8,0.8,9.5,0,11.1,0,11.4,0,8.4,0.5,6.4,0,5.8,0.8,11.7,0.3,11.7,0,4.8,0,2.3,0.5
5/5/70 00:00,15,0,13.4,0,8.9,7.6,11.4,0,10,3.3,7,13.5,10.6,6.1,10,0,3.1,18.5,7.5,0.3,10.3,0,4.2,2.8,1.9,0
